epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.164,0.68372,7.56261,0.00852,0.28634,0.34478,0.2624,0.18551,0.55174,4.42629,0.00797,0.000114758,0.000114758,0.000114758
2,217.845,0.62334,2.61964,0.00766,0.57762,0.58114,0.56808,0.40762,0.5493,2.04875,0.00796,0.000226915,0.000226915,0.000226915
3,327.703,0.62628,1.68522,0.00795,0.68998,0.66378,0.68502,0.48756,0.54323,1.29287,0.00809,0.000336226,0.000336226,0.000336226
4,437.039,0.60971,1.32307,0.0077,0.72653,0.68263,0.73994,0.54982,0.50997,0.99674,0.00754,0.000332192,0.000332192,0.000332192
5,546.692,0.59374,1.12829,0.0076,0.76624,0.70508,0.76434,0.55412,0.52524,0.88541,0.00801,0.000327922,0.000327922,0.000327922
6,656.541,0.57835,0.99929,0.00725,0.84168,0.75394,0.81612,0.60641,0.50246,0.7723,0.00762,0.000323653,0.000323653,0.000323653
7,765.903,0.57394,0.86903,0.00721,0.87684,0.76928,0.83747,0.6231,0.4932,0.65408,0.00731,0.000319384,0.000319384,0.000319384
8,875.453,0.55901,0.84134,0.00711,0.86217,0.79079,0.82134,0.61763,0.48997,0.64518,0.00722,0.000315114,0.000315114,0.000315114
9,984.483,0.56133,0.76271,0.00699,0.88053,0.77722,0.85096,0.63262,0.48137,0.58093,0.00717,0.000310845,0.000310845,0.000310845
10,1093.6,0.54649,0.7071,0.0069,0.86537,0.80722,0.87221,0.66087,0.46233,0.57429,0.00683,0.000306576,0.000306576,0.000306576
11,1201.83,0.54535,0.7033,0.00685,0.90289,0.78438,0.87542,0.64866,0.49393,0.56737,0.00726,0.000302306,0.000302306,0.000302306
12,1310.9,0.5389,0.66472,0.00674,0.87483,0.81212,0.86144,0.6593,0.46974,0.5518,0.00692,0.000298037,0.000298037,0.000298037
13,1419.92,0.5251,0.62806,0.00652,0.86098,0.8424,0.8779,0.66748,0.46628,0.51818,0.00678,0.000293768,0.000293768,0.000293768
14,1529.69,0.52478,0.60131,0.00657,0.82455,0.85944,0.90177,0.68115,0.47357,0.52477,0.00701,0.000289498,0.000289498,0.000289498
15,1639.13,0.5223,0.60257,0.00646,0.87418,0.87806,0.9145,0.70173,0.45844,0.48,0.00667,0.000285229,0.000285229,0.000285229
16,1748.16,0.51765,0.56677,0.00648,0.89874,0.84842,0.91253,0.69622,0.45831,0.47858,0.00679,0.000280959,0.000280959,0.000280959
17,1857.19,0.50932,0.54269,0.00635,0.85777,0.84241,0.88754,0.67565,0.45863,0.52948,0.00667,0.00027669,0.00027669,0.00027669
18,1965.91,0.51412,0.54814,0.0065,0.86907,0.85872,0.89729,0.68582,0.45048,0.47178,0.00663,0.000272421,0.000272421,0.000272421
19,2073.95,0.50203,0.51369,0.00628,0.88665,0.86792,0.9052,0.69669,0.44793,0.4505,0.00655,0.000268151,0.000268151,0.000268151
20,2183.32,0.50504,0.51177,0.00629,0.90927,0.87396,0.92472,0.70545,0.44649,0.44771,0.00656,0.000263882,0.000263882,0.000263882
