epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4574.47,0.41444,0.39213,0.00516,0.93834,0.94398,0.95883,0.75295,0.41157,0.41417,0.00586,0.000169956,0.000169956,0.000169956
43,4682.32,0.41931,0.40088,0.00518,0.94535,0.92865,0.96332,0.75769,0.40881,0.39142,0.00591,0.000165686,0.000165686,0.000165686
44,4791.52,0.41092,0.38494,0.00499,0.93485,0.94223,0.96202,0.76427,0.41062,0.39901,0.00596,0.000161417,0.000161417,0.000161417
45,4900.12,0.40711,0.38497,0.005,0.93956,0.93528,0.96217,0.76196,0.41177,0.4017,0.00592,0.000157147,0.000157147,0.000157147
46,5008.78,0.40456,0.37891,0.00498,0.94764,0.92881,0.96143,0.7532,0.41267,0.40663,0.00593,0.000152878,0.000152878,0.000152878
47,5117.71,0.41137,0.39021,0.00505,0.93793,0.9354,0.95674,0.75566,0.40838,0.416,0.00585,0.000148609,0.000148609,0.000148609
48,5226.25,0.40407,0.3684,0.00498,0.94114,0.94131,0.95856,0.75718,0.40836,0.39584,0.00583,0.000144339,0.000144339,0.000144339
49,5334.97,0.39928,0.36911,0.00493,0.93114,0.93759,0.965,0.76981,0.40626,0.40021,0.00578,0.00014007,0.00014007,0.00014007
50,5444.26,0.40086,0.35972,0.00495,0.93584,0.94299,0.96187,0.76855,0.40255,0.38925,0.00572,0.000135801,0.000135801,0.000135801
51,5553.12,0.39405,0.35624,0.00481,0.93075,0.94549,0.96214,0.76454,0.40601,0.38718,0.00586,0.000131531,0.000131531,0.000131531
52,5661.82,0.39365,0.3528,0.0048,0.9467,0.93536,0.96058,0.76055,0.40673,0.39881,0.00586,0.000127262,0.000127262,0.000127262
53,5770.79,0.39337,0.35483,0.00475,0.94061,0.91448,0.94795,0.75759,0.40161,0.3945,0.00573,0.000122992,0.000122992,0.000122992
54,5879.46,0.38735,0.35416,0.00475,0.95358,0.93107,0.96433,0.76831,0.40442,0.39322,0.00575,0.000118723,0.000118723,0.000118723
55,5988.38,0.387,0.35251,0.00469,0.95295,0.9403,0.96634,0.7698,0.40578,0.39752,0.00585,0.000114454,0.000114454,0.000114454
56,6097.41,0.39127,0.35118,0.00485,0.94443,0.9449,0.96177,0.76638,0.40225,0.39444,0.00576,0.000110184,0.000110184,0.000110184
57,6206.34,0.38455,0.34218,0.00473,0.9531,0.93841,0.96626,0.76927,0.40007,0.38925,0.00575,0.000105915,0.000105915,0.000105915
58,6315.09,0.38527,0.34868,0.00467,0.95299,0.93577,0.96076,0.76477,0.39851,0.39613,0.00571,0.000101646,0.000101646,0.000101646
59,6423.62,0.38084,0.34114,0.00465,0.96399,0.92441,0.96312,0.77125,0.40056,0.39791,0.00575,9.73763e-05,9.73763e-05,9.73763e-05
60,6533.01,0.37902,0.33104,0.00459,0.94388,0.93571,0.96014,0.76794,0.39896,0.39129,0.00576,9.31069e-05,9.31069e-05,9.31069e-05
61,6641.93,0.37598,0.32468,0.00455,0.95293,0.92709,0.96447,0.76954,0.40198,0.38941,0.00578,8.88375e-05,8.88375e-05,8.88375e-05
62,6750.75,0.38149,0.33267,0.00464,0.95443,0.92485,0.96161,0.76853,0.40031,0.39909,0.00572,8.45681e-05,8.45681e-05,8.45681e-05
63,6859.65,0.37787,0.332,0.00458,0.95885,0.9361,0.9626,0.76954,0.40075,0.39429,0.00577,8.02987e-05,8.02987e-05,8.02987e-05
64,6967.57,0.36917,0.31855,0.00453,0.94633,0.94521,0.96516,0.77292,0.39837,0.39024,0.00572,7.60294e-05,7.60294e-05,7.60294e-05
65,7077.05,0.37134,0.32609,0.00452,0.93795,0.94724,0.96288,0.76646,0.39614,0.40123,0.00567,7.176e-05,7.176e-05,7.176e-05
