epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.101,0.65693,7.67728,0.00816,0.32633,0.35658,0.27874,0.19575,0.54144,4.38282,0.00779,0.000114758,0.000114758,0.000114758
2,217.479,0.61001,2.57337,0.0075,0.60257,0.61239,0.59274,0.42557,0.53587,1.98861,0.00793,0.000226915,0.000226915,0.000226915
3,327.415,0.6039,1.68756,0.0076,0.73456,0.67074,0.70864,0.49933,0.54357,1.29946,0.0081,0.000336226,0.000336226,0.000336226
4,436.79,0.59554,1.35818,0.00751,0.73183,0.67635,0.74791,0.54755,0.50368,1.06049,0.00742,0.000332192,0.000332192,0.000332192
5,545.985,0.57936,1.16119,0.00738,0.7423,0.74977,0.78298,0.56352,0.50986,0.87338,0.00776,0.000327922,0.000327922,0.000327922
6,654.394,0.57008,1.03394,0.0071,0.76155,0.74831,0.78725,0.58024,0.49689,0.82635,0.00741,0.000323653,0.000323653,0.000323653
7,763.635,0.56451,0.90786,0.00707,0.85142,0.78977,0.83206,0.61062,0.49639,0.68873,0.00737,0.000319384,0.000319384,0.000319384
8,872.55,0.54894,0.87373,0.00694,0.83904,0.76026,0.84349,0.6285,0.48283,0.68046,0.00711,0.000315114,0.000315114,0.000315114
9,981.801,0.55046,0.79739,0.00684,0.86979,0.78178,0.8486,0.62509,0.49227,0.64727,0.00737,0.000310845,0.000310845,0.000310845
10,1090.73,0.53019,0.75443,0.00669,0.81229,0.844,0.88595,0.66905,0.45918,0.61737,0.00679,0.000306576,0.000306576,0.000306576
11,1199.84,0.53076,0.72359,0.00665,0.83111,0.88163,0.89701,0.66976,0.4751,0.57411,0.00696,0.000302306,0.000302306,0.000302306
12,1309.24,0.52735,0.694,0.00658,0.83183,0.82959,0.87306,0.65621,0.46541,0.58544,0.00683,0.000298037,0.000298037,0.000298037
13,1417.26,0.51902,0.6673,0.00646,0.90961,0.8124,0.89158,0.66915,0.46565,0.53752,0.00676,0.000293768,0.000293768,0.000293768
14,1526.18,0.51426,0.63641,0.0064,0.90334,0.82499,0.88946,0.67679,0.46018,0.51822,0.00681,0.000289498,0.000289498,0.000289498
15,1635.15,0.51279,0.62453,0.00634,0.80671,0.87418,0.89274,0.67296,0.46536,0.53147,0.00686,0.000285229,0.000285229,0.000285229
16,1744.13,0.5061,0.60319,0.0063,0.90386,0.80363,0.8669,0.65566,0.4572,0.51624,0.0067,0.000280959,0.000280959,0.000280959
