fold,images,groups,selected_threshold,eligible_count,recall_floor,fdr_cap,baseline_cal_recall,baseline_cal_fdr,gcd_cal_recall,gcd_cal_fdr,baseline_holdout_recall,baseline_holdout_fdr,gcd_holdout_recall,gcd_holdout_fdr,gcd_holdout_ship_recall,gcd_holdout_ship_fdr
0,135,113,0.425,9,0.959769647696477,0.04543126684636118,0.964769647696477,0.04043126684636118,0.967479674796748,0.03438948995363215,0.9346811819595645,0.0384,0.9548989113530326,0.03610675039246468,0.8271604938271605,0.11842105263157894
1,136,113,0.425,11,0.9492989930286599,0.046618047452353165,0.95429899302866,0.04161804745235317,0.9624322230828815,0.03644823575029081,0.9767080745341615,0.03379416282642089,0.9751552795031055,0.02786377708978328,0.825,0.15384615384615385
2,131,109,0.375,11,0.9548909657320872,0.04135652853792025,0.9598909657320872,0.03635652853792025,0.9704049844236761,0.03223300970873787,0.9544072948328267,0.05421686746987952,0.958966565349544,0.06379821958456973,0.8227848101265823,0.3010752688172043
3,137,109,0.45,9,0.9552162997296253,0.04478370027037466,0.9602162997296253,0.039783700270374665,0.9644650444186945,0.03478933127174333,0.9529042386185244,0.04107424960505529,0.9544740973312402,0.02564102564102564,0.8354430379746836,0.13157894736842105
4,135,110,0.425,9,0.9496862896979086,0.04697434900893898,0.9546862896979086,0.04197434900893898,0.9620449264136328,0.03646237393328161,0.9751552795031055,0.032357473035439135,0.9767080745341615,0.027820710973724884,0.8554216867469879,0.1839080459770115
