epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4459.85,0.87368,0.33574,0.00516,0.93936,0.89845,0.94752,0.74939,0.91868,0.34604,0.006,0.000169956,0.000169956,0.000169956
43,4565.57,0.88545,0.34429,0.00522,0.93833,0.92656,0.96241,0.76042,0.90741,0.34003,0.00592,0.000165686,0.000165686,0.000165686
44,4671.99,0.8719,0.3183,0.00502,0.93152,0.92304,0.95684,0.75399,0.90998,0.34722,0.00594,0.000161417,0.000161417,0.000161417
45,4777.8,0.86423,0.31799,0.00501,0.93314,0.93254,0.96117,0.75402,0.92241,0.3559,0.00604,0.000157147,0.000157147,0.000157147
46,4883.57,0.85817,0.32011,0.00498,0.92172,0.90533,0.94451,0.74927,0.91471,0.35396,0.00596,0.000152878,0.000152878,0.000152878
47,4989.35,0.87553,0.3236,0.00509,0.93607,0.89458,0.94878,0.74698,0.91801,0.3724,0.00605,0.000148609,0.000148609,0.000148609
48,5095.18,0.85333,0.31604,0.00496,0.92066,0.91688,0.95047,0.75202,0.90194,0.35574,0.00588,0.000144339,0.000144339,0.000144339
49,5201.36,0.8459,0.30513,0.00494,0.92744,0.93196,0.95928,0.76087,0.90569,0.3604,0.00594,0.00014007,0.00014007,0.00014007
50,5307.76,0.84616,0.30118,0.00495,0.93354,0.90917,0.94442,0.75222,0.89969,0.34709,0.00587,0.000135801,0.000135801,0.000135801
51,5413.59,0.8297,0.30153,0.00477,0.93653,0.91519,0.94297,0.75053,0.90859,0.33667,0.006,0.000131531,0.000131531,0.000131531
52,5519.39,0.83032,0.29732,0.0048,0.93924,0.90754,0.95391,0.75312,0.91059,0.35121,0.00597,0.000127262,0.000127262,0.000127262
53,5625.32,0.83044,0.29443,0.00477,0.89947,0.93557,0.95397,0.75401,0.90044,0.34644,0.00588,0.000122992,0.000122992,0.000122992
54,5731.22,0.81713,0.28793,0.00474,0.93946,0.90288,0.94337,0.74856,0.90225,0.3617,0.00588,0.000118723,0.000118723,0.000118723
55,5837.1,0.81641,0.29267,0.00465,0.9298,0.93396,0.95187,0.75439,0.90338,0.35255,0.00591,0.000114454,0.000114454,0.000114454
56,5942.77,0.81894,0.28763,0.00482,0.94223,0.93264,0.95656,0.75474,0.90922,0.3558,0.00595,0.000110184,0.000110184,0.000110184
57,6048.56,0.80692,0.28198,0.00467,0.94891,0.93561,0.95882,0.75397,0.90246,0.35055,0.00589,0.000105915,0.000105915,0.000105915
