epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4483.27,0.44169,0.32029,0.00555,0.92727,0.93439,0.95878,0.75047,0.4297,0.34379,0.00611,0.000169956,0.000169956,0.000169956
43,4589.77,0.44733,0.32627,0.00557,0.94198,0.93293,0.95847,0.73798,0.42893,0.33952,0.00616,0.000165686,0.000165686,0.000165686
44,4696.16,0.4352,0.30722,0.00534,0.94765,0.93275,0.95868,0.74539,0.42847,0.33137,0.00616,0.000161417,0.000161417,0.000161417
45,4802.81,0.43602,0.30973,0.00536,0.94578,0.94091,0.96056,0.75517,0.42521,0.33931,0.00607,0.000157147,0.000157147,0.000157147
46,4909.3,0.4328,0.30613,0.00533,0.95294,0.92518,0.96441,0.75579,0.42519,0.32028,0.00603,0.000152878,0.000152878,0.000152878
47,5016.21,0.44314,0.30225,0.00547,0.94293,0.9363,0.96024,0.76295,0.42073,0.34333,0.00601,0.000148609,0.000148609,0.000148609
48,5123.02,0.42982,0.29607,0.00531,0.94622,0.93855,0.96091,0.75959,0.42116,0.32737,0.00597,0.000144339,0.000144339,0.000144339
49,5229.88,0.42554,0.29129,0.00526,0.94043,0.93143,0.96188,0.76236,0.42222,0.34177,0.00601,0.00014007,0.00014007,0.00014007
50,5336.28,0.42801,0.2854,0.00532,0.95442,0.93178,0.96237,0.76389,0.41801,0.32978,0.00597,0.000135801,0.000135801,0.000135801
51,5443.1,0.41805,0.28763,0.0051,0.93888,0.94579,0.96327,0.76162,0.41665,0.31668,0.00593,0.000131531,0.000131531,0.000131531
52,5549.61,0.42151,0.27996,0.00519,0.94146,0.9488,0.96457,0.76857,0.41624,0.32908,0.006,0.000127262,0.000127262,0.000127262
53,5656.49,0.41809,0.28076,0.00511,0.93781,0.93976,0.95946,0.76021,0.41778,0.31164,0.00597,0.000122992,0.000122992,0.000122992
54,5762.96,0.41447,0.28031,0.00513,0.95369,0.91999,0.96063,0.76571,0.41865,0.33168,0.00599,0.000118723,0.000118723,0.000118723
55,5869.4,0.4119,0.27529,0.00502,0.94752,0.93772,0.9598,0.7586,0.41966,0.33386,0.006,0.000114454,0.000114454,0.000114454
56,5975.71,0.41492,0.27304,0.00517,0.93412,0.94089,0.96157,0.76307,0.42026,0.3268,0.00599,0.000110184,0.000110184,0.000110184
57,6082.06,0.40703,0.26917,0.00501,0.92587,0.93737,0.96237,0.76756,0.4208,0.32806,0.006,0.000105915,0.000105915,0.000105915
58,6188.49,0.40818,0.26673,0.00496,0.93226,0.94059,0.95802,0.76924,0.41377,0.33605,0.00588,0.000101646,0.000101646,0.000101646
59,6295.39,0.40267,0.26287,0.00495,0.94581,0.92521,0.95921,0.76737,0.41863,0.33805,0.00602,9.73763e-05,9.73763e-05,9.73763e-05
